bhattacharyya,chebyshev,cosine_dist,euclidian,frame,hamming,kl_div,manhattan,mu_augment,mu_original,sigma_augment,sigma_original,ssim_dist,step,file
-17.543642238616943,199.154,0.0,26577.30837890625,501.0,382984.648,4900666.871,14913715.48,74.90226368713378,74.90226368713378,33.18839166259766,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-0.6/seed_2/2024-05-21_16-19-49/augment.csv
-17.543165592193603,200.504,0.0021610202789306135,26809.64305078125,501.0,484736.78,4987305.9,15287825.956,74.91074536132813,74.90226368713378,33.19041491699219,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-2.2/seed_2/2024-05-21_16-29-17/augment.csv
-17.543060276031493,209.596,0.00294579017162318,26877.5718046875,501.0,493257.444,5008423.305,15348559.27,74.91594941711426,74.90226368713378,33.19261813354492,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-2.5/seed_2/2024-05-21_16-30-24/augment.csv
-17.543548877716063,199.154,0.0002491440773009758,26611.79716015625,501.0,408769.66,4916601.509,14998834.356,74.90224008178711,74.90226368713378,33.188400764465335,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-0.8/seed_2/2024-05-21_16-20-30/augment.csv
-17.541077045440673,221.392,0.015012322068214366,28173.2324609375,501.0,555791.698,5420736.847,16330180.848,75.03791455078125,74.90226368713378,33.21804107666016,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-10/seed_2/2024-05-21_16-15-29/augment.csv
-17.543077213287354,207.714,0.002648762702941844,26853.08880078125,501.0,490242.236,5002941.088,15327353.99,74.91148695373535,74.90226368713378,33.19041970825195,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-2.4/seed_2/2024-05-21_16-30-00/augment.csv
-17.543484725952148,199.154,0.0004214148521422852,26635.573578125,501.0,424984.914,4927499.808,15053085.428,74.90214555358887,74.90226368713378,33.188079483032226,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-0.9/seed_2/2024-05-21_16-20-51/augment.csv
-17.54314450073242,206.822,0.0024557807445525623,26835.13619140625,501.0,487384.322,4993387.661,15309695.562,74.91508540344238,74.90226368713378,33.19309085845947,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-2.3/seed_2/2024-05-21_16-29-38/augment.csv
-17.543627841949462,199.154,3.8332700729370116e-05,26582.6041484375,501.0,387268.648,4903125.607,14927395.48,74.90226368713378,74.90226368713378,33.18839166259766,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-0.7/seed_2/2024-05-21_16-20-10/augment.csv
-17.54087550354004,221.384,0.01641445827484126,28341.01982421875,501.0,557787.826,5471882.427,16456631.738,75.0658509979248,74.90226368713378,33.22463550567627,33.18839166259766,0.0,250.5,exp-rot/pendulum_swingup_augment_stats/drqv2_aug_pixels-True-rotate-11/seed_2/2024-05-21_16-15-50/augment.csv
