drqv2_aug_pixels-True-rotate-1.5,drqv2_aug_pixels-True-rotate-8,drqv2_aug_pixels-True-rotate-1,drqv2_aug_pixels-True-rotate-6,drqv2_aug_pixels-True-rotate-0.1,drqv2_aug_pixels-True-rotate-0.6,drqv2_aug_pixels-True-rotate-2.5,drqv2_aug_pixels-True-rotate-0.8,drqv2_aug_pixels-True-rotate-0.9,drqv2_aug_pixels-True-rotate-0.7,drqv2_aug_pixels-True-rotate-11,drqv2_aug_pixels-True-rotate-1.8,drqv2_aug_pixels-True-rotate-1.6,drqv2_aug_pixels-True-rotate-1.1,drqv2_aug_pixels-True-rotate-1.7,drqv2_aug_pixels-True-rotate-1.9,drqv2_aug_pixels-True-rotate-3,drqv2_aug_pixels-True-rotate-4,drqv2_aug_pixels-True-rotate-5,drqv2_aug_pixels-True-rotate-2,drqv2_aug_pixels-True-rotate-14,drqv2_aug_pixels-True-rotate-13,drqv2_aug_pixels-True-rotate-0.5,drqv2_aug_pixels-True-rotate-0.2,drqv2_aug_pixels-True-rotate-2.1,drqv2_aug_pixels-True-rotate-15,drqv2_aug_pixels-True-rotate-0.3,drqv2_aug_pixels-True-rotate-0.4
724.2,2.0,100.0,110.2,100.0,285.0,765.0,565.1,446.3,788.0,1.4,662.0,100.0,284.4,6.5,536.5,100.0,2.7,106.7,757.1,3.6,6.8,402.8,268.2,40.2,1.3,285.6,49.2
755.6,0.0,0.0,152.7,92.5,0.0,812.6,673.0,599.5,838.3,0.0,807.1,93.0,93.4,11.2,708.5,91.2,34.0,34.2,721.0,0.0,12.9,592.6,519.4,50.2,0.0,428.2,50.3
732.5,29.4,199.6,99.3,199.6,199.6,743.9,370.0,274.1,752.3,1.8,720.1,191.6,199.6,12.7,706.1,190.8,30.2,30.2,730.1,1.0,0.9,261.8,281.4,45.3,24.1,283.3,46.9
772.2,1.0,192.6,98.2,191.8,193.0,808.6,548.8,664.4,835.4,8.0,845.2,192.2,193.2,12.2,745.2,183.6,1.2,57.9,777.9,1.0,1.5,483.9,631.4,52.4,15.4,367.4,54.4
724.6,0.0,0.0,66.5,0.0,0.0,771.4,541.1,535.0,773.2,0.0,354.7,0.0,93.0,0.0,723.3,0.0,0.0,29.9,719.5,0.0,0.0,398.4,267.4,45.9,7.9,366.1,102.3
648.3,0.0,0.0,70.9,0.0,0.0,746.7,685.5,552.4,743.0,0.0,736.1,0.0,0.0,0.0,733.2,0.0,0.0,35.2,707.0,0.0,0.0,389.0,385.7,49.1,2.9,489.9,174.0
786.2,0.0,0.0,93.7,92.2,173.6,770.2,764.1,598.6,817.2,0.0,699.6,185.1,0.0,11.1,695.2,0.0,13.9,68.1,767.2,0.0,0.0,600.3,574.3,49.1,9.9,581.6,791.0
485.3,7.9,286.7,90.5,476.2,200.0,846.7,781.9,833.0,870.8,9.9,860.7,476.3,200.0,29.5,740.2,285.1,148.2,107.1,799.6,4.5,3.1,760.9,812.6,53.4,44.4,814.7,847.6
719.8,0.0,0.0,79.4,211.3,85.8,699.4,794.5,653.2,840.8,0.0,819.2,92.4,185.3,5.8,494.5,90.6,0.0,84.9,762.3,0.0,33.8,662.4,575.4,49.2,28.7,687.4,799.4
681.0,9.2,100.0,67.3,191.2,186.1,740.4,745.2,593.3,782.9,0.5,739.6,284.6,100.0,18.7,743.4,188.8,4.8,58.1,623.5,0.6,0.5,391.7,352.0,48.7,15.5,643.6,751.8
