drqv2_aug_pixels-True-zoom-1.0,drqv2_aug_pixels-True-zoom-1.9,drqv2_aug_pixels-True-zoom-1.6,drqv2_aug_pixels-True-zoom-1.1,drqv2_aug_pixels-True-zoom-2.0,drqv2_aug_pixels-True-zoom-0.3,drqv2_aug_pixels-True-zoom-0.4,drqv2_aug_pixels-True-zoom-0.5,drqv2_aug_pixels-True-zoom-1.05,drqv2_aug_pixels-True-zoom-0.2,drqv2_aug_pixels-True-zoom-0.95,drqv2_aug_pixels-True-zoom-1.4,drqv2_aug_pixels-True-zoom-1.3,drqv2_aug_pixels-True-zoom-0.85,drqv2_aug_pixels-True-zoom-1.2,drqv2_aug_pixels-True-zoom-1.5,drqv2_aug_pixels-True-zoom-0.9,drqv2_aug_pixels-True-zoom-2.4,drqv2_aug_pixels-True-zoom-0.7,drqv2_aug_pixels-True-zoom-0.1,drqv2_aug_pixels-True-zoom-0.6,drqv2_aug_pixels-True-zoom-2.2,drqv2_aug_pixels-True-zoom-0.8,drqv2_aug_pixels-True-zoom-2.5
845.9,47.1,0.0,0.0,4.4,5.6,32.9,0.0,92.7,28.8,572.1,7.1,36.1,8.6,175.1,0.0,150.5,0.0,6.9,0.8,0.0,0.0,0.0,0.0
728.5,7.7,17.5,21.8,0.0,12.8,8.4,0.0,88.9,0.0,355.5,4.6,68.0,13.0,138.4,0.0,12.5,0.0,0.9,7.1,0.0,0.0,0.0,0.0
739.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,394.2,3.4,0.0,0.0,76.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
765.9,0.0,2.1,0.0,0.0,11.5,0.0,0.0,0.0,0.0,325.9,4.1,10.5,4.6,68.0,0.0,23.9,0.0,0.0,0.0,0.0,0.0,10.4,0.0
752.2,0.0,7.8,79.7,0.0,6.8,0.0,5.6,0.0,0.0,245.7,0.0,0.0,0.0,114.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
803.6,22.3,11.5,12.0,2.5,1.5,4.7,20.6,183.1,4.6,236.3,12.5,6.1,4.7,158.5,2.4,20.2,5.8,2.2,10.7,8.8,2.5,1.1,1.5
856.9,31.4,2.5,44.0,7.1,1.0,1.3,1.0,100.0,52.4,711.9,4.0,100.0,5.6,111.1,2.3,27.5,2.8,1.0,4.9,2.7,1.0,5.9,1.8
764.7,30.3,0.0,0.0,0.0,0.0,7.5,0.0,98.6,3.4,469.7,3.5,0.0,0.0,87.9,0.0,2.1,0.0,0.0,8.5,0.0,0.0,0.0,0.0
832.3,0.0,0.0,11.7,0.0,0.0,7.7,0.0,0.0,0.0,529.1,0.0,0.0,3.3,129.2,0.0,11.1,0.0,0.0,0.0,0.0,0.0,4.3,0.0
803.6,0.0,4.8,60.7,0.0,0.0,0.0,0.0,0.0,0.0,337.2,0.0,0.0,0.0,34.1,0.0,9.0,1.5,0.0,0.0,0.0,0.0,9.3,0.0
746.5,7.6,15.4,0.0,0.0,13.3,7.1,4.0,0.0,0.0,529.1,0.0,76.7,0.0,57.7,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
795.6,14.6,0.0,7.2,0.0,0.0,14.2,0.0,24.1,0.0,509.3,0.0,3.2,0.0,68.2,0.0,47.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0
816.6,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.4,2.2,0.0,0.0,84.1,0.0,4.3,0.0,0.0,0.0,0.0,0.0,10.0,0.0
777.3,14.4,7.1,34.4,0.0,0.0,14.6,0.0,0.0,0.0,664.8,0.0,19.2,0.0,48.9,0.0,8.0,0.0,0.0,7.8,0.0,5.8,0.0,0.0
773.7,98.1,13.4,0.0,0.0,14.3,11.0,0.0,88.0,0.0,519.9,1.7,1.2,0.0,25.7,3.0,64.0,0.0,3.1,9.6,8.9,1.0,20.9,0.0
811.8,15.6,14.9,186.3,0.0,6.3,7.4,0.0,97.6,2.2,616.4,4.2,0.0,0.0,26.2,0.0,4.8,0.0,5.6,0.0,11.0,8.4,0.0,0.0
792.6,6.4,8.2,8.6,0.0,0.0,7.7,0.0,0.0,0.0,589.6,0.0,12.8,0.0,72.9,0.0,20.6,0.0,0.0,0.0,0.0,0.0,6.1,0.0
816.5,25.1,28.4,92.9,2.4,19.7,8.1,2.2,5.2,2.1,704.1,3.1,9.7,0.0,81.0,0.0,37.3,0.0,0.5,7.3,4.4,9.6,0.0,0.0
878.9,26.3,13.8,1.1,19.1,2.5,20.6,2.8,197.3,5.9,599.5,4.6,79.2,1.9,53.1,0.4,4.4,0.2,7.3,2.2,8.4,6.7,7.6,98.3
808.4,115.3,15.3,151.2,1.6,16.9,16.1,4.7,200.0,3.7,581.6,8.0,84.3,3.6,75.7,1.6,15.8,1.9,2.1,25.6,5.2,2.6,1.1,2.3
843.2,37.1,2.3,9.9,0.0,0.0,24.8,0.0,0.0,0.0,377.0,1.6,0.0,0.0,73.2,3.6,32.5,0.0,3.0,7.1,8.9,1.3,0.9,0.0
788.2,8.2,5.0,1.8,0.0,0.0,0.0,0.0,93.7,0.0,529.7,3.4,0.0,0.0,57.9,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750.5,191.7,4.5,100.3,9.6,1.0,17.9,2.7,199.8,9.5,575.2,11.1,50.7,4.9,39.5,6.5,22.3,2.6,1.6,6.2,1.9,1.0,4.8,3.6
743.7,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.1,0.0,0.0,0.0,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
806.3,25.4,3.7,189.5,6.7,10.5,30.0,2.0,289.3,4.2,553.9,5.2,108.0,4.0,71.1,4.0,5.8,1.7,3.5,7.3,2.1,3.9,2.1,3.3
788.7,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,525.7,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
799.6,26.3,39.6,6.1,19.7,26.6,20.0,0.0,158.4,4.0,262.1,4.6,0.0,0.0,29.6,0.0,20.1,0.0,0.0,6.0,0.0,0.0,0.0,0.0
811.8,19.5,8.7,153.0,4.3,3.4,12.9,5.1,167.0,3.2,427.8,6.5,173.7,2.7,56.9,8.8,11.0,3.4,3.8,7.5,10.3,3.2,3.4,7.3
709.8,10.3,0.9,6.8,0.9,0.0,5.4,0.1,100.0,2.8,384.5,3.9,13.6,3.2,32.1,0.1,12.8,0.0,0.0,10.8,0.0,0.7,0.0,55.5
811.1,14.8,0.0,105.7,0.0,0.0,0.0,0.0,0.0,0.0,643.0,0.0,0.0,0.0,26.6,0.0,9.3,0.0,1.4,0.0,5.2,0.0,0.0,0.0
837.4,6.8,0.0,92.9,0.0,0.0,4.9,0.0,68.2,0.0,595.9,2.0,0.0,0.0,24.2,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
862.3,15.4,1.5,193.0,3.8,2.8,16.2,13.0,38.0,1.0,760.3,1.2,101.0,1.0,48.9,5.3,11.8,1.6,1.6,1.0,30.8,1.5,8.2,1.7
812.6,6.3,0.0,34.4,10.4,9.9,13.0,0.0,0.0,0.0,737.8,7.6,0.0,0.0,28.4,0.0,3.1,3.1,0.0,0.0,2.3,0.0,6.5,0.0
778.3,0.0,0.0,0.0,0.0,17.2,8.0,0.0,0.0,0.0,566.6,0.0,0.0,0.0,45.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
812.2,6.1,0.0,31.7,0.0,0.0,18.6,0.0,0.0,0.0,581.2,1.2,0.0,0.0,12.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0
810.3,6.1,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,439.2,0.0,0.0,0.0,23.1,0.0,4.8,0.0,2.8,0.0,0.0,0.0,0.0,0.0
798.0,13.3,4.6,95.9,3.8,0.0,0.0,0.0,81.9,0.0,744.7,7.5,11.9,0.0,51.1,0.0,3.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0
846.0,33.1,1.8,192.7,13.6,1.3,1.9,8.9,95.6,1.6,721.1,8.0,100.0,2.0,37.4,1.0,22.0,1.1,1.3,1.6,3.0,0.8,1.5,3.5
799.2,6.3,0.0,9.7,0.0,0.0,0.8,1.2,93.0,0.0,710.7,0.0,0.0,0.0,8.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834.7,23.3,3.0,130.2,0.0,0.0,11.5,1.8,98.8,2.2,696.4,0.8,0.0,2.8,32.0,0.0,1.0,0.0,0.0,0.0,9.2,0.0,4.0,0.0
