drqv2_aug_pixels-True-contrast-14.0,drqv2_aug_pixels-True-contrast-1.2,drqv2_aug_pixels-True-contrast-12.5,drqv2_aug_pixels-True-contrast-3.0,drqv2_aug_pixels-True-contrast-1.4,drqv2_aug_pixels-True-contrast-1.3,drqv2_aug_pixels-True-contrast-9.0,drqv2_aug_pixels-True-contrast-0.8,drqv2_aug_pixels-True-contrast-2.5,drqv2_aug_pixels-True-contrast-0.1,drqv2_aug_pixels-True-contrast-8.5,drqv2_aug_pixels-True-contrast-11.5,drqv2_aug_pixels-True-contrast-0.6,drqv2_aug_pixels-True-contrast-0.7,drqv2_aug_pixels-True-contrast-0.9,drqv2_aug_pixels-True-contrast-13.0,drqv2_aug_pixels-True-contrast-1.6,drqv2_aug_pixels-True-contrast-9.5,drqv2_aug_pixels-True-contrast-10.5,drqv2_aug_pixels-True-contrast-1.1,drqv2_aug_pixels-True-contrast-3.5,drqv2_aug_pixels-True-contrast-1.8,drqv2_aug_pixels-True-contrast-12.0,drqv2_aug_pixels-True-contrast-1.9,drqv2_aug_pixels-True-contrast-1.0,drqv2_aug_pixels-True-contrast-1.7,drqv2_aug_pixels-True-contrast-14.5,drqv2_aug_pixels-True-contrast-15.0,drqv2_aug_pixels-True-contrast-13.5,drqv2_aug_pixels-True-contrast-0.5,drqv2_aug_pixels-True-contrast-0.2,drqv2_aug_pixels-True-contrast-11.0,drqv2_aug_pixels-True-contrast-0.3,drqv2_aug_pixels-True-contrast-2.0
6.1,93.4,5.5,5.7,31.6,92.9,6.1,788.6,5.7,5.8,5.5,6.1,663.6,770.7,763.0,5.5,41.1,5.5,5.5,213.3,5.5,32.6,5.5,5.5,765.0,18.7,5.5,5.5,5.5,652.6,91.7,5.5,12.8,5.7
13.8,199.0,18.0,18.5,127.8,284.1,13.8,831.0,18.6,22.2,18.0,13.8,542.7,816.0,822.7,18.0,123.3,18.0,18.0,283.6,18.0,84.3,18.0,18.5,801.1,56.6,18.0,18.0,18.0,497.7,100.0,18.0,275.6,18.6
6.6,100.0,22.9,23.9,130.3,160.6,6.6,847.4,25.0,1.4,22.9,6.6,723.9,817.9,851.2,22.9,141.6,22.9,22.9,455.0,22.9,80.3,22.9,24.3,838.1,81.6,22.9,22.9,22.9,630.2,3.0,22.9,380.7,24.0
12.7,86.0,11.2,11.1,113.7,92.1,12.7,808.8,11.0,4.1,11.2,12.7,685.1,791.0,799.4,11.2,70.4,11.2,11.2,394.4,11.2,58.7,11.2,11.2,764.2,28.4,11.2,11.2,11.2,728.5,6.6,11.2,184.3,10.7
5.4,93.3,11.2,11.7,121.7,184.8,5.4,832.3,11.9,4.2,11.2,5.4,756.5,812.6,836.3,11.2,23.9,11.2,11.2,605.8,11.2,31.4,11.2,11.3,812.6,36.2,11.2,11.2,11.2,91.5,144.3,11.2,45.6,11.4
5.8,92.9,5.5,5.7,92.7,92.5,5.8,818.6,5.5,0.0,5.5,5.8,758.0,816.2,835.6,5.5,39.0,5.5,5.5,626.4,5.5,19.0,5.5,5.6,814.7,17.7,5.5,5.5,5.5,646.1,0.0,5.5,10.7,5.0
5.5,34.9,11.0,11.0,93.6,184.7,5.5,770.4,11.5,0.0,11.0,5.5,669.7,775.5,758.3,11.0,49.1,11.0,11.0,384.8,11.0,48.5,11.0,11.2,756.2,32.1,11.0,11.0,11.0,368.5,181.1,11.0,26.7,10.9
10.8,185.9,12.3,12.4,88.9,0.0,10.8,839.4,12.5,0.0,12.3,10.8,768.5,818.6,825.8,12.3,36.7,12.3,12.3,617.7,12.3,26.3,12.3,12.1,810.8,15.9,12.3,12.3,12.3,582.2,0.0,12.3,57.1,11.6
5.9,55.0,11.1,11.7,274.7,70.1,5.9,839.3,10.9,0.0,11.1,5.9,788.3,815.9,838.8,11.1,76.9,11.1,11.1,644.2,11.1,51.8,11.1,11.4,820.7,40.1,11.1,11.1,11.1,608.3,0.0,11.1,117.4,11.1
11.1,118.2,5.6,5.8,136.3,77.5,10.9,778.5,5.5,0.0,5.6,11.1,720.8,784.9,814.4,5.6,31.9,5.6,5.6,590.5,5.5,26.8,5.6,5.8,784.4,19.4,5.6,5.6,5.6,633.9,0.8,5.6,8.6,5.4
11.3,185.7,17.7,18.9,356.6,283.4,11.6,771.5,18.4,0.0,17.7,11.3,641.1,807.6,797.8,17.7,130.5,17.7,17.7,604.6,17.7,76.8,17.7,18.7,795.7,49.1,17.7,17.7,17.7,526.0,283.2,17.7,183.9,18.5
19.1,283.9,10.7,11.3,144.0,182.3,19.1,854.1,11.2,2.0,10.7,19.1,768.3,852.0,849.0,10.7,59.9,10.7,10.7,684.6,10.7,51.8,10.7,11.8,814.2,33.0,10.7,10.7,10.7,589.2,183.4,10.7,22.4,11.4
6.0,93.1,11.7,5.9,51.0,0.0,6.0,820.3,12.1,0.0,11.7,6.0,684.5,826.2,819.5,11.7,33.5,11.7,11.7,799.5,11.4,74.4,11.7,5.7,793.1,29.6,11.7,11.7,11.7,572.0,165.8,11.7,186.9,11.7
12.9,190.5,15.7,16.8,118.2,270.4,12.9,855.4,16.9,2.0,15.7,12.9,705.4,851.1,854.8,15.7,99.1,15.7,15.7,785.7,15.9,67.3,15.7,18.7,830.4,53.9,15.7,15.7,15.7,642.3,273.0,15.7,211.6,16.6
26.0,382.9,30.0,31.1,186.1,373.9,26.0,878.0,29.7,4.5,30.0,26.0,764.5,890.7,885.6,30.0,214.5,30.0,30.0,863.5,30.3,113.2,30.0,30.5,874.2,82.4,30.0,30.0,30.0,693.6,415.9,30.0,315.2,29.7
20.1,284.8,12.8,12.8,114.9,191.6,20.1,825.3,12.7,10.5,12.8,20.1,676.9,823.9,822.2,12.8,57.8,12.8,12.8,753.8,12.9,67.2,12.8,13.2,795.8,35.2,12.8,12.8,12.8,645.6,191.5,12.8,109.9,13.1
11.2,186.1,24.8,25.1,155.0,185.7,11.2,854.0,24.6,0.0,24.8,11.2,621.9,845.3,846.6,24.8,152.0,24.8,24.8,814.8,24.6,117.0,24.8,24.5,834.4,66.5,24.8,24.8,24.8,716.3,0.0,24.8,35.4,24.9
